Movie, MovieId, Genre, Rating, MovieLength, Director, ReleaseYear, Studio, Reviews
Citizen Kane, 1001, Classics, PG, 119, Orson Welles, 1941, RKO-Radio-Pictures, 76
All About Eve, 1002, Classics, PG, 138, Joseph L. Mankiewicz, 1950, 20th-Century-Fox, 64
Moonlight, 1003, Drama, R, 110, Barry Jenkins (III), 2016, A24-Films, 321
Metropolis, 1004, Action&Adventure, PG-13, 115, Fritz Lang, 1927, Paramount-Pictures, 116
Spotlight, 1005, Drama, R, 129, Tom McCarthy, 2015, Open-Road-Films, 334
Casablanca, 1006, Classics, PG, 102, Michael Curtiz, 1942, Warner-Bros.-Pictures, 77
The Godfather, 1007, Drama, R, 175, Francis Ford Coppola, 1972, Paramount-Pictures, 88
La Grande illusion (Grand Illusion), 1008, ArtHouse&International, NR, 113, Jean Renoir, 1938, Rialto-Pictures, 64
12 Years a Slave, 1009, Drama, R, 134, Steve McQueen (III), 2013, Fox-Searchlight, 337
Wonder Woman, 1010, Action&Adventure, PG-13, 141, Patty Jenkins, 2017, Warner-Bros.-Pictures, 373
Boyhood, 1011, Drama, R, 165, Richard Linklater, 2014, IFC-Films, 291
The Maltese Falcon, 1012, Drama, PG, 101, John Huston, 1941, Warner-Bros., 51
Gravity, 1013, Drama, PG-13, 91, Alfonso Cuarón, 2013, Warner-Bros.-Pictures, 327
The Battle of Algiers (La Battaglia di Algeri), 1014, ArtHouse&International, NR, 123, Gillo Pontecorvo, 1967, Rialto-Pictures, 83
Argo, 1015, Drama, R, 120, Ben Affleck, 2012, Warner-Bros.-Pictures, 333
Repulsion, 1016, Classics, NR, 104, Roman Polanski, 1965, Royal-Films-International, 60
Logan, 1017, Action&Adventure, R, 135, James Mangold, 2017, 20th-Century-Fox, 337
Sunset Boulevard, 1018, Classics, R, 111, Billy Wilder, 1950, Paramount-Pictures, 60
Arrival, 1019, Drama, PG-13, 116, Denis Villeneuve, 2016, 21-Laps-Entertainment, 349
Rear Window, 1020, Classics, PG, 115, Alfred Hitchcock, 1954, Paramount-Pictures, 63
La La Land, 1021, Comedy, PG-13, 128, Damien Chazelle, 2016, Liongate-Films, 386
Bicycle Thieves (Ladri di biciclette), 1022, Drama, NR, 90, Vittorio De Sica, 1949, ENIC, 57
M, 1023, ArtHouse&International, NR, 105, Fritz Lang, 1931, Foremco, 51
Selma, 1024, Drama, PG-13, 127, Ava DuVernay, 2015, Paramount-Pictures, 242
All Quiet on the Western Front, 1025, Classics, PG, 134, Lewis Milestone, 1930, Universal-Pictures, 42
Baby Driver, 1026, Action&Adventure, R, 113, Edgar Wright, 2017, Sony-Pictures, 313
Seven Samurai (Shichinin no Samurai), 1027, Action&Adventure, R, 204, Akira Kurosawa, 1956, Columbia-Pictures, 57
Alien, 1028, Drama, R, 117, Ridley Scott, 1979, 20th-Century-Fox, 104
12 Angry Men (Twelve Angry Men), 1029, Classics, NR, 95, Sidney Lumet, 1957, Criterion-Collection, 50
Taxi Driver, 1030, Drama, R, 112, Martin Scorsese, 1976, Columbia-Pictures, 80
The 400 Blows (Les Quatre cents coups), 1031, ArtHouse&International, NR, 97, François Truffaut, 1959, Zenith-International-Films, 54
Touch of Evil, 1032, Classics, PG-13, 95, Orson Welles, 1958, October-Films, 71
The Treasure of the Sierra Madre, 1033, Action&Adventure, NR, 126, John Huston, 1948, WARNER-BROTHERS-PICTURES, 44
The Night of the Hunter, 1034, Drama, PG, 93, Charles Laughton, 1955, United-Artists, 65
A Streetcar Named Desire, 1035, Classics, PG, 122, Elia Kazan, 1951, Warner-Bros.-Pictures, 55
Manchester by the Sea, 1036, Drama, R, 135, Kenneth Lonergan, 2016, Amazon-Studios, 295
Hell or High Water, 1037, Drama, R, 102, David Mackenzie, 2016, Film-44, 248
Army of Shadows (L'Armée des ombres), 1038, ArtHouse&International, NR, 140, Jean-Pierre Melville, 1969, Rialto-Pictures-LLC., 73
Brooklyn, 1039, Drama, PG-13, 111, John Crowley, 2015, Fox-Searchlight-Pictures, 252
The Babadook, 1040, Drama, NR, 94, Jennifer Kent, 2014, IFC-Films, 219
Lawrence of Arabia, 1041, Action&Adventure, PG, 111, David Lean, 1962, Columbia-Pictures, 80
Rebecca, 1042, Classics, NR, 130, Alfred Hitchcock, 1940, United-Artists, 49
War for the Planet of the Apes, 1043, Action&Adventure, PG-13, 140, Matt Reeves, 2017, 20th-Century-Fox, 298
The Dark Knight, 1044, Action&Adventure, PG-13, 152, Christopher Nolan, 2008, Warner-Bros.-Pictures/Legendary, 326
The Conformist, 1045, ArtHouse&International, PG-13, 115, Bernardo Bertolucci, 1970, Paramount-Pictures, 50
Spider-Man: Homecoming, 1046, Action&Adventure, PG-13, 115, Jon Watts, 2017, Sony-Pictures, 317
Rashômon, 1047, ArtHouse&International, NR, 83, Akira Kurosawa, 1951, Janus-Films, 52
The Wrestler, 1048, Drama, R, 109, Darren Aronofsky, 2008, Fox-Searchlight-Pictures, 223
The African Queen, 1049, Action&Adventure, PG, 105, John Huston, 1951, Twentieth-Century-Fox-Home-Entertainment, 40
L.A. Confidential, 1050, Drama, R, 138, Curtis Hanson, 1997, Warner-Bros.-Pictures, 109
Open City, 1051, ArtHouse&International, NR, 103, Roberto Rossellini, 1946, Criterion-Collection, 42
Tokyo Story (Tôkyô monogatari), 1052, ArtHouse&International, NR, 134, Yasujiro Ozu, 1953, BFI-Production, 42
The Wages of Fear, 1053, ArtHouse&International, NR, 138, Henri-Georges Clouzot, 1953, Janus-Films, 42
On the Waterfront, 1054, Classics, NR, 108, Elia Kazan, 1954, Sony-Pictures, 62
The Grapes of Wrath, 1055, Classics, NR, 129, John Ford, 1940, Twentieth-Century-Fox-Home-Entertainment, 44
Harry Potter and the Deathly Hallows - Part 2, 1056, Action&Adventure, PG-13, 131, David Yates (II), 2011, Warner-Bros.-Pictures, 317
Roman Holiday, 1057, Classics, NR, 118, William Wyler, 1953, Paramount-Pictures, 53
Carol, 1058, Drama, R, 118, Todd Haynes, 2015, The-Weinstein-Company, 276
The Last Picture Show, 1059, Classics, R, 125, Peter Bogdanovich, 1971, Columbia-Pictures, 51
The Hurt Locker, 1060, Action&Adventure, R, 131, Kathryn Bigelow, 2009, Summit-Entertainment, 275
Jaws, 1061, Action&Adventure, PG, 124, Steven Spielberg, 1975, Universal-Pictures, 76
Creed, 1062, Drama, PG-13, 132, Ryan Coogler, 2015, Warner-Bros., 273
The Godfather, 1063, Drama, R, 200, Francis Ford Coppola, 1974, Paramount-Pictures, 72
Chinatown, 1064, Classics, R, 130, Roman Polanski, 1974, Paramount-Pictures, 64
Battleship Potemkin, 1065, ArtHouse&International, NR, 65, Sergei M. Eisenstein, 1925, Kino-International, 45
Anatomy of a Murder, 1066, Classics, NR, 160, Otto Preminger, 1959, Sony-Pictures-Home-Entertainment, 42
The Leopard, 1067, ArtHouse&International, PG, 205, Luchino Visconti, 1963, Criterion-Collection, 46
Star Wars: Episode IV - A New Hope, 1068, Action&Adventure, PG, 125, George Lucas, 1977, 20th-Century-Fox, 113
Cool Hand Luke, 1069, Classics, PG, 126, Stuart Rosenberg, 1967, Warner-Bros., 47
Whiplash, 1070, Drama, R, 106, Damien Chazelle, 2014, Sony-Pictures-Classics, 275
Vertigo, 1071, Classics, PG, 128, Alfred Hitchcock, 1958, Paramount-Pictures, 66
The Searchers, 1072, Action&Adventure, PG, 119, John Ford, 1956, Warner-Bros.-Pictures, 42
Birdman, 1073, Comedy, R, 119, Alejandro González Iñárritu, 2014, Fox-Searchlight, 319
Paterson, 1074, Comedy, R, 115, Jim Jarmusch, 2016, K5-International, 230
La Dolce Vita, 1075, ArtHouse&International, NR, 174, Federico Fellini, 1960, American-International-Picture, 58
